presenter,chair1,chair2,title,presenter_gender,chair1_gender,chair2_gender
Michel Guerra-Bernal,Sahra Kacimi (Jet Propulsion Laboratory),Paolo Cipollini (ESA),"C.03.05 Copernicus CRISTAL: Operational Monitoring for Cryospheric Science, Hydrology, and Oceanography from Coasts to Polar Seas",male,female,male
Malcolm Mcmillan,Sahra Kacimi (Jet Propulsion Laboratory),Paolo Cipollini (ESA),"C.03.05 Copernicus CRISTAL: Operational Monitoring for Cryospheric Science, Hydrology, and Oceanography from Coasts to Polar Seas",male,female,male
Federica Polverari,Sahra Kacimi (Jet Propulsion Laboratory),Paolo Cipollini (ESA),"C.03.05 Copernicus CRISTAL: Operational Monitoring for Cryospheric Science, Hydrology, and Oceanography from Coasts to Polar Seas",female,female,male
Cristina Martin Puig,Sahra Kacimi (Jet Propulsion Laboratory),Paolo Cipollini (ESA),"C.03.05 Copernicus CRISTAL: Operational Monitoring for Cryospheric Science, Hydrology, and Oceanography from Coasts to Polar Seas",female,female,male
Stefan Adriaensen,Fabrizio Niro (Serco for ESA/ESRIN),Roberto Biasutti (ESA),C.05.01 PROBA-V and PV-CC,male,male,male
Sindy Sterckx,Fabrizio Niro (Serco for ESA/ESRIN),Roberto Biasutti (ESA),C.05.01 PROBA-V and PV-CC,female,male,male
Audric Bos,Fabrizio Niro (Serco for ESA/ESRIN),Roberto Biasutti (ESA),C.05.01 PROBA-V and PV-CC,male,male,male
Xavier Collaud,Fabrizio Niro (Serco for ESA/ESRIN),Roberto Biasutti (ESA),C.05.01 PROBA-V and PV-CC,male,male,male
Stanislav Borisov,Fabrizio Niro (Serco for ESA/ESRIN),Roberto Biasutti (ESA),C.05.01 PROBA-V and PV-CC,male,male,male
Iskander Benhadj,Fabrizio Niro (Serco for ESA/ESRIN),Roberto Biasutti (ESA),C.05.01 PROBA-V and PV-CC,male,male,male
Claudia Emde,Vera Krieger (German Space Agency (DLR)),Emiliano Carmona Flores (German Aerospace Center (DLR)),C.06.09 CAL/VAL towards future VNIR/SWIR imaging spectroscopy,female,female,male
Kevin Ruddick,Vera Krieger (German Space Agency (DLR)),Emiliano Carmona Flores (German Aerospace Center (DLR)),C.06.09 CAL/VAL towards future VNIR/SWIR imaging spectroscopy,male,female,male
Tristan Harmel,Vera Krieger (German Space Agency (DLR)),Emiliano Carmona Flores (German Aerospace Center (DLR)),C.06.09 CAL/VAL towards future VNIR/SWIR imaging spectroscopy,male,female,male
Patrizia Sacco,Vera Krieger (German Space Agency (DLR)),Emiliano Carmona Flores (German Aerospace Center (DLR)),C.06.09 CAL/VAL towards future VNIR/SWIR imaging spectroscopy,female,female,male
Emiliano Carmona Flores,Vera Krieger (German Space Agency (DLR)),Emiliano Carmona Flores (German Aerospace Center (DLR)),C.06.09 CAL/VAL towards future VNIR/SWIR imaging spectroscopy,male,female,male
Keely Roth,Vera Krieger (German Space Agency (DLR)),Emiliano Carmona Flores (German Aerospace Center (DLR)),C.06.09 CAL/VAL towards future VNIR/SWIR imaging spectroscopy,female,female,male
